ANY,ACTIVITAT,IPCC_SECTOR,IPCC_DIVISIO,IPCC_CLASSE,IPCC_SUBCLASSE,NOM_SECTOR,NOM_DIVISIO,NOM_CLASSE,NOM_SUBCLASSE,CONTAMINANT,UNITATS,CO2EQ,EMISSIO GAS
2015,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,1495.11,1495.11
2015,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,0.79,0
2016,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,0.68,0
2016,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,0.72,0.03
2016,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,1378.81,1378.81
2017,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,0.78,0.03
2017,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,1442.45,1442.45
2017,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,0.74,0
2018,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,0.7,0
2018,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,0.74,0.03
